neuterYn,sexCd,weight,noticeDays,age2
N,F,4,11,4
N,F,8,11,0
N,F,3.61,11,1
U,M,4,11,3
N,F,4,11,8
U,F,4.5,11,3
U,M,5,11,3
N,F,6,11,2
N,M,3.7,11,0
U,F,4.8,11,2
U,M,8,11,0
U,M,2,11,12
Y,M,6.4,11,10
U,F,1.7,11,0
U,F,1.7,11,0
U,F,3.6,11,2
N,M,3.1,11,2
