neuterYn,sexCd,weight,noticeDays,age2,processState
N,M,18,10,2,1
U,M,7,10,2,1
N,M,7,10,5,1
N,F,8,10,1,1
N,F,3,10,1,0
U,M,1,10,1,0
U,F,1,10,1,0
U,F,1,10,1,0
U,F,1,10,1,0
U,M,1,10,1,0
U,F,1,10,1,0
U,M,1,10,1,0
N,M,25,10,8,0
U,F,5.3,10,9,0
U,F,5.4,10,6,0
N,M,7.2,10,2,0
N,M,4.4,10,4,1
U,M,25,10,4,0
N,M,11.27,10,3,0
N,M,9.25,10,1,0
N,M,20,10,2,0
N,M,34,10,4,0
Y,M,11,10,4,1
Y,M,4.4,10,11,0
N,M,2.1,7,1,1
U,M,4.5,10,1,0
U,F,6,10,1,0
N,F,2,10,1,1
N,M,8.2,10,4,0
Y,M,3.6,10,4,1
U,F,3.4,10,1,0
U,F,6.7,10,1,0
N,M,5.8,10,2,0
N,M,2.3,10,11,0
U,M,4.5,11,2,1
Y,M,4.2,11,2,1
N,F,1.7,11,1,1
N,M,1.6,11,1,1
N,F,2,11,14,0
U,Q,6,11,1,1
U,Q,4.5,11,1,1
N,F,8,11,1,0
U,M,4,11,1,1
U,M,4,11,1,1
U,F,13,11,6,1
U,F,4,11,1,1
N,F,3.5,11,1,1
N,F,22,11,3,0
N,M,0.5,11,1,1
N,F,7,11,4,0
N,M,10,11,4,0
N,M,15,11,4,0
N,M,20,11,8,0
N,M,3.5,14,1,0
U,F,2.5,11,1,1
U,M,2.5,11,1,1
U,M,2.5,11,1,1
Y,M,7,11,3,1
N,M,3.2,11,3,1
U,M,20,11,4,0
N,M,20,7,3,0
N,F,20,7,3,0
N,F,3,7,1,0
N,F,3,7,1,0
N,F,3,7,1,0
N,F,3,7,1,0
N,M,14,7,3,1
N,F,2,11,1,0
N,F,3,11,2,0
N,M,1,11,1,1
N,F,4,11,2,1
N,F,12,11,5,1
N,M,7,11,3,0
N,M,4,11,2,0
N,M,7,11,1,0
N,F,12,11,4,0
N,M,15,11,4,0
N,M,5,11,2,1
N,M,5,11,2,0
U,F,11.5,11,2,1
U,M,17.5,11,3,0
U,M,15,7,4,1
U,F,9,11,4,0
U,M,3,11,3,0
N,M,15,11,3,1
N,M,11.32,11,2,0
U,F,15.75,11,2,0
N,M,7.83,11,3,0
N,M,3.58,11,3,1
N,F,13,11,2,0
N,F,10,11,11,0
U,F,4.6,12,8,0
N,M,4,11,9,0
N,M,7,11,4,1
N,M,8,11,2,1
N,F,2.4,11,1,0
N,F,6.5,11,4,1
N,F,7.2,11,1,1
N,M,3.7,11,6,1
Y,F,4.9,11,2,1
Y,M,7.2,11,3,1
Y,F,8.2,11,2,1
N,M,5.4,11,2,1
U,F,3.2,7,2,1
N,M,1.5,11,1,1
N,M,1.3,11,1,1
N,F,1,11,1,1
N,M,1.3,11,1,1
N,F,1.5,11,1,1
N,M,1.7,11,1,1
Y,M,3,11,2,1
U,M,8,11,4,0
U,F,10,11,5,0
U,F,3.5,11,7,1
U,F,2.5,11,1,1
N,F,1.8,11,1,0
N,M,2.3,11,1,1
N,M,2.1,11,1,1
N,M,27,11,2,1
U,F,20,11,6,0
N,M,1.24,11,1,0
N,M,1.66,11,1,0
