kindNum,sexCd,weight,noticeDays,processState
114,F,10.2,7,0
114,F,2.3,7,1
54,M,29,10,1
38,M,7,10,1
67,F,16,10,1
89,M,3,10,1
114,F,9.5,10,1
114,M,17,10,0
114,M,22,10,0
114,F,3,10,1
114,M,12,7,0
13,F,5,10,1
114,M,13,10,1
18,M,5.8,10,1
101,F,4,10,1
114,F,2,10,1
114,F,18,10,0
114,F,6,10,0
67,F,18,10,1
128,F,2.6,10,1
114,M,3,9,1
114,F,8,9,1
101,M,5,10,1
121,M,35,10,1
72,F,3,10,1
114,F,11.63,9,0
114,M,6.35,9,0
114,M,3.28,9,0
114,M,3.27,9,0
114,F,3.26,9,0
114,F,3.25,9,0
67,M,10,10,0
67,F,7.6,10,1
