kindNum,sexCd,weight,noticeDays,processState
114,M,7,12,0
114,F,7,12,1
101,F,4,12,1
114,F,8,12,0
67,M,22,12,0
114,F,15,12,1
114,M,2,12,1
114,F,2,12,1
113,F,2.8,12,1
114,F,3,10,0
113,M,6,10,0
114,F,5.53,10,0
114,F,5,20,1
128,F,3,20,1
114,F,7,10,0
114,M,5,10,0
114,M,6,10,0
114,M,5,10,0
114,F,8,10,0
114,M,22,10,1
72,M,3.9,10,1
114,M,17.5,10,1
114,F,15,10,0
114,F,6,10,0
128,F,3,11,1
114,M,7,11,0
114,F,13,12,0
114,M,5.1,12,1
114,F,5.6,12,1
114,F,5.3,12,1
114,F,1.8,12,1
108,M,12,12,1
114,M,14,12,0
114,F,6.1,12,1
114,M,2.8,12,0
114,F,14.6,12,0
114,F,1.5,12,0
114,M,1.3,12,1
114,F,1.4,12,0
114,F,5.9,12,1
114,F,3.5,12,0
114,F,15,12,0
128,F,4,12,1
114,M,8,12,0
114,M,2,12,1
114,M,2,12,1
114,M,2,12,1
114,F,2,12,1
114,F,2,12,1
89,M,4,12,1
114,F,2.5,12,1
114,M,10,12,0
114,M,7,12,0
114,M,4,12,0
114,F,13,12,0
114,F,2,12,0
114,F,1,12,1
114,M,1,12,1
114,M,1,12,1
114,M,1,12,1
114,M,3,7,0
114,F,4,12,0
114,F,15,9,0
87,M,4,12,1
69,F,24,9,1
128,M,3,9,1
114,F,4,9,1
114,F,15,12,0
114,M,1,12,0
114,F,1,12,1
114,F,1,12,1
114,M,4.1,12,0
114,M,2.4,12,0
114,M,0.82,12,1
114,F,18,12,0
114,F,5.5,12,0
114,F,1.9,12,0
114,M,1.9,12,0
114,F,2.1,12,0
114,M,2.1,12,0
114,F,3.3,12,0
114,F,3.3,12,0
18,F,4.4,7,1
67,M,23,12,0
67,F,14,12,0
125,F,8,12,0
38,F,5,12,0
67,F,3,12,1
41,M,14.5,12,1
114,M,23,12,1
114,M,2,12,0
114,M,2,12,0
72,F,3,12,1
72,F,3,12,1
22,M,7,12,0
114,F,2,12,1
114,F,1.5,12,1
128,M,4.9,12,1
89,F,1.3,12,1
114,M,1,12,1
114,M,1,12,1
114,F,1,12,1
114,F,1,12,1
27,M,5,12,1
114,F,5.4,12,1
114,F,4.8,10,0
114,F,2,10,0
114,F,2,10,0
108,F,5,14,1
114,F,6,14,0
114,F,20,14,0
114,F,5,10,0
114,F,5,10,0
114,F,2,10,1
114,F,2,10,1
114,F,5,10,0
54,F,16,10,1
114,F,2.9,10,0
114,F,6.45,10,0
108,M,28,10,1
122,M,21,10,1
114,F,0.5,10,0
114,F,0.6,10,0
114,F,0.5,10,1
114,M,0.5,10,1
114,M,0.6,10,1
114,F,10.5,10,1
114,F,1,7,1
114,F,5,7,1
114,Q,6,10,0
114,F,6,10,1
114,Q,2,10,1
114,Q,2,10,1
114,Q,2,10,1
114,M,7,10,0
114,Q,3.5,10,0
114,Q,3.5,10,0
114,F,7,10,0
67,F,20,10,1
114,F,3.5,10,1
114,F,1.5,7,1
114,M,1.5,7,1
114,M,1.5,7,1
114,F,4,15,0
114,M,7,15,0
114,M,7,10,0
114,F,18.1,10,0
114,F,20,10,0
114,F,5,10,0
114,F,4,10,0
114,M,3.7,9,1
114,M,10,9,0
114,F,0.8,9,1
69,M,12,10,1
114,M,2.4,10,0
101,M,5,10,0
114,M,4,10,1
67,M,3,10,1
114,F,15,10,0
114,F,6,10,1
114,M,2.7,10,1
67,M,15,10,0
114,M,1,10,1
114,M,1,10,1
114,M,1,10,1
114,F,6.5,10,1
114,F,2.5,10,1
114,F,2.5,10,1
114,F,2.5,10,1
114,M,2.5,10,1
114,M,4,10,1
114,M,5.8,10,1
124,M,7,10,1
89,F,3.8,10,1
114,F,5.72,9,0
128,M,7.35,9,0
114,F,1,10,1
114,F,1,10,0
114,M,10,10,1
114,F,4,10,1
114,M,4.5,10,1
114,F,11,10,1
114,M,3.5,10,0
114,F,6,10,0
114,M,8.7,10,1
114,M,7.8,10,1
114,F,8,10,0
69,M,25,10,1
114,F,8.5,10,0
114,F,15.3,10,1
114,F,15.7,10,0
114,M,16.2,10,0
114,M,8.31,10,1
72,F,2,10,1
67,M,16.7,10,1
114,M,8,10,0
114,M,7,10,0
114,F,5,10,0
114,F,20,10,0
114,M,3.5,10,0
114,F,4,10,0
114,M,5,10,0
114,F,3.2,10,1
114,F,3.2,10,1
114,F,3,10,1
114,M,3,10,1
114,F,9.5,10,0
114,M,13,10,0
108,F,8,10,1
124,M,8,10,1
114,M,5,10,1
114,M,10,10,0
87,M,5,10,1
114,M,3,10,1
114,M,6,10,1
114,M,3,10,0
114,M,3,10,1
32,F,1.8,10,1
32,M,3.9,10,1
69,M,19,10,1
114,F,4.2,10,0
114,F,4.3,10,0
114,F,3.2,10,1
114,M,2.2,10,0
114,F,2.3,10,0
114,M,2.2,10,0
114,F,2.2,10,0
114,M,2.4,10,0
114,M,2.1,10,0
89,F,3.2,10,1
114,F,3,10,1
67,M,22,12,1
114,M,30,7,0
114,F,25,7,0
114,F,3,7,0
114,F,3,7,1
114,F,3,7,1
114,M,2,10,0
114,M,14.45,10,0
114,M,22.36,10,0
114,M,13.14,10,0
114,M,5,10,0
114,F,7,10,0
114,M,5,20,1
67,F,7,10,0
22,M,8.2,10,1
101,M,6,10,1
114,F,3,14,0
128,F,4.7,7,1
114,M,8,12,0
128,M,4,12,1
72,M,4,12,1
72,M,4,12,1
72,F,3,12,1
72,F,4,12,1
114,M,3,12,0
114,M,3,12,0
114,F,3,12,0
114,F,3,12,0
114,F,5,12,0
114,F,5,12,0
28,M,35,12,1
128,M,3,12,1
114,M,3,7,1
114,F,8,12,0
159,M,30,12,1
69,M,30,12,1
114,M,25,12,1
114,M,2,9,1
114,M,2,9,1
114,M,2,9,1
114,M,2,9,1
114,F,2,9,1
114,F,2,9,1
114,M,2,9,1
114,F,2,9,1
128,F,3,12,1
124,F,5,12,1
114,F,1.2,12,1
114,F,1.8,10,0
114,F,1.7,10,0
114,M,1.8,10,0
114,M,18.4,10,0
114,F,12,10,0
114,M,19,10,0
114,M,4.6,10,1
114,F,25,10,0
114,F,23.6,10,0
114,M,23,10,0
114,F,11,10,0
114,M,18.6,10,0
20,M,16,10,1
114,F,2.1,10,0
114,F,2.1,10,0
114,F,2.1,10,0
114,F,2,10,0
114,M,2.3,10,0
114,M,1.9,10,0
114,F,7.3,10,0
114,F,30,10,0
114,F,2.2,10,1
114,M,3.5,10,1
114,F,10.5,10,0
114,F,12.2,10,0
114,F,9.1,10,0
114,F,9.7,10,0
114,F,16.1,10,0
114,M,12.4,10,0
114,M,14.5,10,0
114,F,10.3,10,0
114,F,0.8,10,0
114,F,0.8,10,0
114,F,0.8,10,0
114,F,0.8,10,0
114,F,0.8,10,0
114,F,0.8,10,0
114,M,0.8,10,0
114,F,14.4,10,0
114,M,14,10,0
114,M,13,10,0
114,F,14,10,0
114,F,11,10,0
18,M,4,10,1
114,F,15,10,0
128,M,5,10,1
114,M,6,10,1
114,M,4.8,10,1
114,M,4,10,0
113,F,3,10,1
122,M,29,10,1
205,M,15,10,0
67,M,5,10,0
114,M,10,10,0
32,F,2,10,1
114,M,2.1,10,0
114,F,2,10,0
114,M,1.9,10,0
114,F,21,10,0
114,M,1.2,10,0
114,F,1.2,10,0
114,M,1.2,10,0
114,F,11.3,10,0
114,F,8.4,10,0
114,F,15,10,0
114,M,10.5,10,0
114,M,9.8,10,0
108,F,15,10,1
72,M,2,10,0
114,F,4.8,10,0
101,F,4,10,1
89,M,4,10,0
114,F,12,10,0
101,F,4,10,0
72,F,3.6,10,1
114,M,5,10,1
124,F,3.4,10,1
128,M,6.4,10,1
114,F,5.2,10,0
114,M,8.6,10,0
114,M,2.9,10,0
72,F,3.4,10,1
114,M,2,10,0
114,M,2.2,10,0
67,M,25,10,1
114,M,5,10,1
114,M,6,10,1
114,F,6.7,10,0
128,F,1.75,10,1
114,M,4.8,10,0
114,M,9.2,10,0
114,F,20,10,1
114,F,7,10,0
114,F,7,7,1
101,M,4,7,1
114,F,10,10,0
128,M,8,10,1
114,F,20,10,0
114,F,10,8,0
72,F,8,8,0
114,F,5,7,0
118,F,35,7,1
114,M,5,10,1
13,M,7,10,1
114,F,5,10,1
114,F,2,10,0
114,F,2,10,1
114,F,8,10,1
114,M,10,10,0
114,M,12,10,1
114,F,4,10,0
114,M,11,10,0
114,F,10,10,0
114,F,3.7,10,0
89,M,3.5,10,1
114,F,3.4,10,1
114,M,15,9,0
114,M,3,9,0
114,M,3,10,0
114,F,3,10,0
114,F,10,10,0
114,F,3,10,1
114,M,3,10,1
67,F,15,10,1
101,M,6,10,0
101,F,6,10,0
114,M,2.7,7,0
32,M,3.5,10,1
50,F,1.3,10,1
114,M,3,10,1
114,M,15,10,0
89,M,3,10,1
128,F,1.5,10,1
114,F,1.5,7,1
114,F,1.6,7,1
114,F,1.5,7,1
125,M,6.5,7,0
67,M,22.5,7,0
114,F,1.1,10,1
114,F,1.1,10,1
114,F,1.1,10,1
114,M,1.1,10,1
114,M,5.8,10,1
114,F,2.28,9,1
114,F,2.27,9,0
114,M,2.39,9,0
114,M,2.38,9,0
114,M,2.37,9,0
114,F,4.24,9,0
114,F,4.23,9,0
67,M,15.73,9,0
114,M,4.88,9,0
89,M,3.72,9,1
114,F,4.46,9,0
114,M,4.58,9,0
128,F,4,10,0
114,F,2.1,10,1
114,F,8,14,0
32,M,3.2,14,1
114,M,14,10,0
114,M,9,10,0
114,F,2.3,10,1
128,F,4.8,10,1
114,M,10,10,0
114,M,5,10,1
114,M,25,10,0
114,M,2.5,10,0
114,M,9,10,0
128,M,3,10,1
114,F,11,10,1
114,F,2,10,0
114,F,2.1,10,0
114,M,2.2,10,1
101,M,5.2,10,1
150,M,29,10,1
114,F,7.3,10,1
114,M,5.2,10,1
114,F,10,10,0
72,F,5,14,1
114,M,7,10,0
89,Q,6,10,1
101,M,2,10,1
114,M,5,10,1
114,F,7.3,10,1
114,F,3.5,10,0
114,M,3.6,10,0
114,M,3.5,10,1
114,M,3.6,10,0
114,M,3.5,10,0
128,F,5,10,0
128,F,3.5,10,0
72,F,3.85,10,0
114,M,3.1,10,1
128,F,3.4,10,1
114,M,4.1,10,1
115,F,1.5,10,1
115,M,7,10,1
114,F,7,10,1
124,M,8,12,1
124,M,7.4,12,1
128,M,6.2,11,1
18,M,4.2,11,1
114,F,2,10,1
69,M,28,20,1
114,F,25,14,0
114,M,4,15,0
114,M,4,10,0
114,M,3,10,0
114,M,3,10,1
114,F,3,10,0
114,F,3,10,0
114,F,3,10,0
114,M,9,10,1
114,F,20,10,0
114,F,1,10,1
27,M,18,10,1
114,M,3.5,10,0
72,M,3.3,10,0
128,M,6,10,1
114,M,5.4,10,0
128,M,3.7,10,1
114,M,2,10,0
114,M,2,10,0
114,M,2,10,0
114,M,1.5,10,0
114,M,1.5,10,0
114,M,2,10,1
114,F,16,10,1
114,F,9,9,1
128,M,4.5,10,1
67,M,15.82,9,0
114,F,5.47,9,0
114,M,4.54,9,0
114,M,15.58,9,0
114,F,3.82,9,0
114,F,4.65,9,0
114,M,3.77,9,0
114,M,3.76,9,0
114,F,4.56,9,0
114,F,4.55,9,0
114,M,4.84,9,0
114,M,4.83,9,0
114,M,4.82,9,0
114,M,4.81,9,0
124,F,5,9,1
72,F,2.5,10,0
32,F,4,10,1
32,F,4.1,10,0
128,F,3.4,10,1
72,F,3.7,10,0
62,F,5.3,10,0
72,F,2.7,10,0
114,F,3.5,10,0
114,F,3.5,10,0
32,F,2.5,10,1
38,F,3,10,1
89,F,3.5,10,1
114,F,21,10,1
114,M,18.43,10,0
114,F,6.4,10,0
114,M,4,12,0
114,F,13,12,1
114,M,3.6,9,1
114,Q,7,9,0
114,Q,12,9,0
114,Q,5,9,0
67,F,16,10,0
67,M,20,10,1
124,F,7,10,0
114,F,12,10,0
114,F,11,10,0
114,F,12,10,0
114,M,5,10,1
114,F,12,10,0
124,M,13,10,0
101,M,9.5,10,1
114,M,7.1,10,1
67,M,30,10,0
114,F,1,10,0
114,F,1.1,10,1
114,M,0.98,10,0
114,M,1.2,10,0
114,M,2,10,0
114,F,1.5,10,0
114,M,1.7,10,0
114,F,7.3,10,0
114,F,15,10,1
114,M,0.97,10,1
114,F,0.71,10,1
114,F,0.64,10,1
114,F,0.58,10,1
114,M,17.6,10,0
32,F,2,10,0
103,M,13,10,0
114,F,15.42,10,0
114,F,5.1,10,1
89,F,3,10,1
114,F,3.7,10,0
114,F,5.2,10,0
90,M,5,10,1
72,F,3,10,1
54,M,26,10,1
114,F,13,9,0
114,F,4,9,1
128,M,4,9,1
72,M,4,9,1
114,M,2,9,1
114,M,2,9,1
114,M,2,9,1
114,M,2,9,1
114,M,20,10,1
72,M,3.8,10,1
114,F,5.8,10,0
101,F,4,10,0
72,F,2.5,9,1
114,F,8,10,0
114,M,5,10,0
114,F,5,10,0
101,F,7,10,1
114,M,3,10,0
114,F,3,10,0
67,M,18,9,1
89,F,3.6,9,1
146,M,25,10,0
128,M,7,10,0
67,M,15,10,0
114,F,5,10,0
114,F,6,10,0
114,F,6,10,1
114,F,3,10,1
114,F,1,10,1
114,F,1,10,1
114,F,6,10,1
114,M,15.2,10,1
50,F,8.3,10,1
69,F,16,10,1
128,M,3.5,10,1
114,M,5.7,10,1
114,M,2.8,10,1
114,F,5,10,0
114,M,5.9,10,1
114,F,4.7,10,1
114,M,4.6,10,1
114,M,9.3,10,1
18,F,6.4,10,1
114,M,10,12,0
114,M,8,12,0
114,M,5,12,0
114,F,5,12,1
114,M,20,12,0
114,F,23,12,0
114,F,6,12,0
114,M,15.83,12,0
114,F,5.52,12,0
114,M,6.48,12,0
114,F,3.2,9,1
128,F,3.4,9,1
124,F,3,7,1
114,F,4.3,10,1
114,M,11.5,10,1
114,F,13.3,10,0
114,M,17,10,0
114,M,13.2,10,0
114,M,0.3,10,0
114,F,17.5,10,0
114,F,16.1,10,0
114,M,6,10,1
89,F,3,10,1
114,F,8,7,0
114,M,11,8,0
114,F,9,8,0
114,M,8,8,0
114,M,7,8,0
114,F,28,10,0
77,M,4,10,1
124,M,4.5,10,1
114,F,2,14,1
89,M,2.5,10,0
67,F,23,10,1
114,M,2,10,0
114,F,1.5,10,0
114,F,2,10,0
114,F,7,10,0
114,F,1,10,0
114,M,3,10,0
114,F,2,10,0
114,F,5,10,0
114,F,2,10,0
80,M,1,10,0
114,F,3,10,0
114,M,7,10,0
114,F,3.5,10,1
128,F,5,9,1
135,M,28,10,1
72,F,4,9,0
114,M,40,10,1
138,F,5.8,10,1
138,F,5.4,10,1
114,M,6,10,0
114,F,5,10,0
114,F,0.5,10,1
114,M,0.6,10,1
114,F,4.8,10,1
114,F,1.3,10,1
114,F,1.2,10,1
114,F,1.4,10,1
114,M,1.5,10,1
114,M,1.38,10,1
38,F,3.7,10,1
114,F,1.4,10,0
114,F,1.1,10,0
114,M,1.3,10,0
114,F,1.3,10,0
114,F,1.3,10,0
114,M,1.6,10,0
114,M,6.5,10,0
114,F,5.5,10,0
114,F,20,10,0
114,F,7,10,0
114,F,17,10,0
114,M,11,10,0
114,M,7,10,0
114,M,7.8,10,0
114,M,45,10,1
124,F,3.6,9,1
146,F,16.31,10,1
146,M,20.45,10,1
67,M,15,10,1
128,M,4.5,10,0
67,M,15,10,0
114,F,4.5,10,0
114,F,2.1,10,0
114,F,5,10,0
142,M,15,14,0
114,F,6,14,0
114,M,2,14,0
114,M,6,14,0
114,F,1,14,0
114,M,6,10,0
114,M,5,10,1
39,F,13,10,1
114,F,4.6,10,0
114,F,8.2,10,1
72,F,2.8,10,1
114,M,11.2,10,1
114,M,4.5,10,0
114,F,2.5,10,0
114,F,2.6,10,0
114,M,5,7,1
77,M,2,10,1
114,M,8,10,1
114,F,2.2,10,1
114,M,5,10,0
114,M,5,10,0
114,F,5,10,0
114,F,5,10,0
114,M,3.5,10,0
114,M,3.5,10,0
114,M,3.5,10,0
114,M,3.5,10,0
114,F,3.5,10,0
54,M,25,10,0
114,M,16,10,0
114,M,13,11,1
50,F,7.5,10,1
113,F,2.6,10,1
89,F,3,7,1
114,M,20,10,0
114,F,10,10,1
114,M,4,10,1
114,M,7,10,0
114,F,2.5,10,1
114,F,1.9,10,0
114,M,2.8,10,0
114,F,15,10,0
72,M,4,10,1
114,M,1,10,0
67,F,17,10,1
67,M,17,10,0
126,M,25,10,1
114,M,7,10,0
67,F,20,10,0
114,M,1,10,0
114,M,1,10,0
114,M,1,10,0
7,M,36,10,1
103,F,26,10,1
114,F,10,10,0
69,M,30,10,1
114,F,5,12,0
114,F,20,10,1
114,F,19,10,0
114,M,8.9,10,0
124,M,6.8,10,1
114,F,13,10,0
90,M,9,10,1
114,M,25,10,1
114,M,0.3,10,1
114,M,0.3,10,1
114,M,0.3,10,1
114,M,0.3,10,1
114,F,0.3,10,1
114,F,0.3,10,1
114,F,0.3,10,1
114,F,10,10,1
114,M,1.3,10,1
114,F,1.4,10,1
114,M,1.5,10,1
114,M,1.2,10,1
114,F,5.5,10,1
114,M,4,12,0
114,F,5.3,10,1
69,M,30,10,1
113,M,5.5,10,0
114,F,10,10,0
89,M,2.5,10,1
72,F,1,10,1
114,M,2,10,1
114,F,1.5,10,1
114,F,3.3,10,1
101,F,4.9,10,1
101,M,4.6,10,1
101,F,5.3,10,1
38,M,9.5,10,1
114,F,10,10,0
114,F,6,11,1
114,F,2,12,1
114,F,8,12,1
114,F,11.45,12,0
114,F,11.28,12,0
90,M,6,10,1
114,M,1,10,1
128,M,5,7,1
114,F,3,10,1
114,F,3.1,10,1
114,M,3,10,1
123,F,3.5,10,1
114,F,2.5,10,1
114,F,7,10,1
114,M,18,10,1
67,F,2,10,1
67,M,2,10,1
67,M,2,10,1
69,F,31.8,10,1
114,F,17.2,10,0
114,M,17,10,0
114,M,4.3,10,0
114,M,4,10,0
114,F,4.3,10,0
114,F,4.3,10,0
114,M,18.5,10,0
114,F,19.4,10,0
114,M,24,10,0
114,M,6,10,0
114,F,4.8,10,0
114,F,8.8,10,0
114,M,21.8,10,0
114,F,13,10,0
114,F,16,10,0
114,M,25,10,0
114,M,14.5,10,0
146,F,17,10,0
114,F,17,10,1
114,F,2.5,10,1
114,F,3,10,0
114,F,9,10,0
114,M,18,10,0
114,M,8,10,1
114,F,2,10,1
114,F,2,10,0
114,F,8,10,0
103,F,20,10,1
114,M,4,10,0
114,M,7,10,0
114,M,10,10,0
114,F,9,10,0
67,F,12,10,0
114,M,22.5,10,1
114,M,5.2,10,1
114,M,4.8,10,1
114,M,12,11,1
114,M,2,10,0
114,F,4,10,0
114,M,3,10,0
101,F,4,10,0
114,M,14,10,0
54,F,6,10,1
54,F,18,10,1
114,F,4,10,1
114,F,0.84,10,0
114,F,1.04,10,0
38,F,5.2,10,0
114,F,4.4,10,0
20,M,17,10,0
114,F,10,10,0
114,F,17.8,10,0
114,F,8.5,10,0
67,M,17,10,0
72,F,5,10,0
114,M,18,10,0
128,M,3.7,10,1
128,M,5.1,10,0
114,M,5.7,10,0
67,M,14,10,0
114,F,25,10,0
114,M,15,10,1
114,Q,12,10,0
114,M,30,10,0
124,F,4,10,1
114,M,4,10,0
114,F,3.12,10,0
114,F,2.95,10,0
114,F,3.12,10,0
114,M,3.2,10,0
114,M,3.25,10,0
114,M,1.5,10,0
67,F,10,10,0
114,M,2,10,1
114,M,4,10,1
114,M,4,10,1
128,M,0.8,10,1
114,M,15.8,10,0
124,M,6.9,10,0
114,F,3.2,10,1
114,M,32,10,0
18,M,7.2,10,1
114,Q,6,11,0
114,M,10,11,0
128,M,4.1,11,1
114,F,2.8,11,0
114,F,3.5,11,0
114,F,11,11,0
114,F,5,11,0
114,F,10,11,1
114,M,3,11,1
114,F,7,11,1
114,F,5,11,0
114,M,5,11,0
54,M,35,11,0
114,F,2.8,11,1
114,F,8.1,9,1
114,M,15.2,9,1
114,F,1,9,1
114,F,1.4,9,1
114,F,1.5,9,1
114,M,20,9,1
114,F,25,9,1
38,F,7,11,1
114,M,5,11,1
114,M,5,11,1
87,F,7.3,11,0
72,M,5,11,1
114,F,15,10,0
114,M,2.5,10,1
114,M,3,10,1
114,F,1,10,0
114,F,1.5,10,1
114,F,20,7,0
114,M,2,11,1
114,F,2,11,0
114,M,2,11,0
114,F,14,11,1
54,M,30,11,1
67,M,20,11,1
114,M,2.7,12,0
114,F,3,11,1
114,F,2.6,11,1
114,M,2.9,11,1
114,M,2.7,11,1
87,F,6.5,11,1
69,M,20,11,1
22,F,3,11,1
128,F,3,11,1
113,F,2.1,11,1
114,F,5.2,11,1
50,F,4.3,11,1
38,F,2.2,11,1
114,F,1.3,11,1
89,F,2.8,11,1
114,M,5.8,7,0
67,F,3.5,7,1
114,M,1.22,11,1
54,F,10,11,1
114,M,8,11,1
114,M,2.8,11,1
114,M,15,11,1
114,M,8,11,1
114,M,12.83,12,0
114,F,3,7,0
114,F,5,7,1
114,M,5,7,0
114,F,7,7,0
72,M,2.4,7,1
114,F,13.25,10,0
114,F,1.1,10,1
114,M,3,10,0
114,M,1.9,10,0
114,F,18.4,10,0
114,F,6,10,0
96,M,35,10,1
101,M,6,10,0
114,M,14,20,0
114,F,8.2,11,1
114,F,7.6,11,1
114,M,11,11,0
114,F,8.5,11,1
114,F,6.5,11,1
114,F,10,11,0
114,F,5.4,11,1
114,M,19,11,0
114,M,22,11,0
114,F,0.8,11,1
72,F,4.4,11,1
114,M,10,11,0
114,M,10,11,0
114,M,15,11,0
69,F,22,11,1
114,F,5,11,0
114,F,2,11,1
114,M,2,11,1
114,M,3,11,1
114,M,13,11,0
114,F,9,11,0
72,F,2.7,11,1
165,F,15,11,1
114,M,4.1,7,0
114,F,5.2,7,0
114,F,1,7,0
114,F,0.6,7,0
128,M,10,11,1
114,M,20,11,1
72,F,3,11,1
72,F,4,11,1
114,F,2.5,11,1
114,M,2.5,11,1
114,M,4,11,1
114,Q,0.4,11,0
114,F,5.9,11,0
114,F,5.5,11,0
114,F,5.9,11,0
114,M,17,11,0
114,F,11.7,11,0
54,F,28,11,1
54,M,30,11,0
114,F,5.3,11,0
114,M,0.62,7,1
67,F,15,11,1
114,F,2.45,11,1
114,M,2.5,11,1
108,F,8,11,1
90,M,8.3,11,0
114,F,16,11,0
77,M,6.1,11,0
113,M,5,11,0
46,M,3.26,11,1
114,M,7,12,0
114,F,3,12,0
114,M,3,12,0
114,M,8.5,12,0
114,M,20,7,1
114,F,3,12,1
114,F,3,12,1
114,F,3,12,1
114,M,3,12,1
114,M,3,12,1
114,M,3,12,1
114,F,20,12,0
89,F,2,12,0
114,F,4,12,1
114,F,3.5,12,1
114,F,4.5,12,1
128,M,5,12,0
114,M,3,20,1
114,M,6,20,1
114,F,6,14,1
114,F,40,14,0
114,F,28,14,1
123,M,7,14,1
114,F,5.5,12,1
114,M,11,12,0
114,M,15,12,0
114,M,0.6,9,1
114,M,0.6,9,1
114,M,1,7,1
114,F,1,7,1
114,F,3,7,0
128,M,4.8,12,1
128,F,2.7,12,1
114,F,5,12,1
128,M,6,12,1
67,F,5.2,12,1
114,M,3,10,1
114,Q,1,12,1
114,Q,1,12,1
114,Q,1,12,1
114,Q,1,12,1
114,F,1,12,1
114,M,1,12,1
114,F,4,12,1
114,F,15,12,1
114,F,2.66,9,0
114,F,2.65,9,0
114,M,2.78,9,0
114,M,2.77,9,0
114,M,2.76,9,0
114,F,3.63,9,0
114,M,3.68,9,0
114,M,8.9,12,1
114,M,3.2,12,0
114,M,9.2,12,0
72,F,4.9,12,1
72,F,6.3,12,1
114,F,3.5,12,1
72,M,3.86,12,0
101,F,1.5,12,1
124,M,9,12,0
89,M,3.26,12,1
128,M,4.4,10,1
114,M,5,12,1
114,M,5,12,1
72,M,3,12,1
67,M,14.2,12,0
72,M,3,12,1
114,F,1.5,12,1
114,F,4,10,1
114,F,4,7,0
114,F,4,7,0
114,M,4,7,0
114,F,4,7,0
114,F,15,10,0
114,F,8,11,0
114,F,10,10,0
114,F,2.84,10,1
114,F,4.4,10,0
124,F,4.8,7,0
114,M,2,11,1
114,F,6,11,0
114,F,17,11,1
114,M,7.5,7,0
54,F,15,11,1
89,F,1.4,11,1
114,F,1.9,11,0
114,M,4.53,11,0
114,M,11.5,11,0
128,M,5,11,0
124,M,5.5,11,0
56,M,4.5,11,1
114,F,3,12,0
114,F,23,12,0
128,F,3.8,12,1
114,F,14.7,12,0
114,F,18,12,0
114,M,15.7,12,0
114,F,5,12,1
114,F,3,12,1
114,M,7,12,0
114,F,15,12,1
114,F,7,12,0
114,F,12,12,1
72,M,4,12,1
114,F,12,12,1
114,M,5,12,0
114,M,3,12,0
123,F,5,12,1
114,M,7.2,12,1
114,F,5,12,0
114,F,1.6,12,0
114,M,1.7,12,0
114,F,0.7,12,0
114,F,1.9,12,0
114,M,1.7,12,0
114,M,1.7,12,0
114,F,12.8,12,0
41,F,20,12,1
114,F,1,12,0
114,M,14,12,0
72,M,11,9,0
38,F,3.5,9,1
114,F,6.58,9,0
67,M,12.85,9,0
114,M,4.5,12,0
114,F,4.4,12,0
114,M,7.2,12,0
114,M,7.9,12,0
114,M,6.8,12,0
114,F,5.8,12,0
114,M,8.2,12,0
114,M,7.5,12,0
114,F,2,12,0
114,F,1.3,12,0
114,F,2,12,0
114,F,1.8,12,0
114,M,7.1,12,0
114,F,3.7,12,0
114,F,6.5,12,0
114,M,4.3,12,0
114,F,6.5,12,0
114,M,20,12,0
114,F,19,12,0
124,M,6.8,7,1
114,F,15,12,0
67,F,15,12,0
114,M,2.6,12,0
128,M,4.5,12,0
72,M,3.8,12,1
114,F,4.7,12,1
89,M,3.6,12,0
128,M,5,12,1
124,F,5.7,12,0
114,M,4,10,0
114,F,7,10,1
114,F,7,10,1
114,F,5,10,1
114,M,7,10,1
114,F,5,10,1
114,F,5,10,0
114,F,15,10,0
67,M,15,10,1
113,F,4,10,1
114,M,20,10,0
114,M,5.5,10,1
114,M,5.5,10,1
67,F,5,7,1
114,M,1,20,1
114,M,1,20,1
114,M,1,20,1
114,M,1,20,1
114,M,1,20,1
114,F,5,20,1
72,M,5,20,1
67,F,8,9,0
114,F,5,10,0
114,F,5,10,0
114,M,15,10,0
72,F,2.5,10,0
114,F,4.5,10,0
114,M,3.1,10,1
114,M,5,9,0
114,F,5,9,0
114,M,3,9,1
114,M,15,9,0
126,F,5,9,0
114,M,4,10,0
114,M,1,10,0
114,M,1,10,0
114,M,1,10,0
114,F,0.8,9,1
114,F,1,9,1
114,M,0.7,9,1
114,M,0.7,9,1
114,M,0.9,9,1
114,F,0.8,9,1
114,M,0.8,9,1
114,M,15,7,0
114,M,20,7,0
114,F,1.5,7,1
114,F,5,10,1
114,F,6,10,0
114,M,7,10,0
114,F,6,10,0
114,M,10,10,0
114,F,5,10,0
114,F,4,10,0
114,F,7,10,0
114,Q,0.5,9,0
114,Q,0.5,9,0
114,Q,0.5,9,0
114,Q,0.5,9,0
114,M,4,10,1
114,M,7,10,1
114,M,8,10,0
124,M,9,10,1
128,M,6,10,0
114,F,6,10,0
146,M,25,9,0
114,M,4,10,1
114,F,2,10,1
114,M,2,10,1
128,M,6,10,1
114,M,6.5,10,0
30,M,6,10,1
18,F,15.82,9,1
72,M,3,10,1
114,F,0.5,10,1
114,F,0.5,10,0
114,F,0.5,10,1
114,M,0.5,10,1
114,M,1,10,1
114,F,1,10,0
101,M,5,10,1
114,M,15,10,1
114,F,3.2,10,1
114,F,16.4,10,0
114,F,8,10,0
114,M,8,10,0
114,F,7,10,0
114,F,15,10,0
114,M,4.5,10,1
89,F,3,13,1
89,F,2.6,13,1
89,F,3.2,13,1
114,M,4.6,13,0
114,F,4.4,13,0
114,F,4.8,10,1
114,F,13,10,0
114,M,12,10,0
